humanRL_gym_ple/dqn_ple.py:126: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(m.weight)
Collecting experience...
humanRL_gym_ple/dqn_ple.py:154: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  0 | Ep_r:  0.0 | Steps:  54 | Total Steps:  55 | Ep_Loss: 0.0000
Ep:  1 | Ep_r:  0.0 | Steps:  44 | Total Steps:  100 | Ep_Loss: 0.0000
Ep:  2 | Ep_r:  0.0 | Steps:  41 | Total Steps:  142 | Ep_Loss: 0.0000
Ep:  3 | Ep_r:  0.0 | Steps:  5 | Total Steps:  148 | Ep_Loss: 0.0000
Ep:  4 | Ep_r:  0.0 | Steps:  50 | Total Steps:  199 | Ep_Loss: 0.0000
Ep:  5 | Ep_r:  0.0 | Steps:  24 | Total Steps:  224 | Ep_Loss: 0.0000
Ep:  6 | Ep_r:  0.0 | Steps:  44 | Total Steps:  269 | Ep_Loss: 0.0000
Ep:  7 | Ep_r:  0.0 | Steps:  202 | Total Steps:  472 | Ep_Loss: 0.0000
Ep:  8 | Ep_r:  0.0 | Steps:  41 | Total Steps:  514 | Ep_Loss: 0.0000
Ep:  9 | Ep_r:  0.0 | Steps:  146 | Total Steps:  661 | Ep_Loss: 0.0000
Ep:  10 | Ep_r:  0.0 | Steps:  22 | Total Steps:  684 | Ep_Loss: 0.0000
Ep:  11 | Ep_r:  0.0 | Steps:  97 | Total Steps:  782 | Ep_Loss: 0.0000
Ep:  12 | Ep_r:  0.0 | Steps:  134 | Total Steps:  917 | Ep_Loss: 0.0000
Ep:  13 | Ep_r:  0.0 | Steps:  152 | Total Steps:  1070 | Ep_Loss: 0.0000
Ep:  14 | Ep_r:  0.0 | Steps:  23 | Total Steps:  1094 | Ep_Loss: 0.0000
Ep:  15 | Ep_r:  0.0 | Steps:  5 | Total Steps:  1100 | Ep_Loss: 0.0000
Ep:  16 | Ep_r:  0.0 | Steps:  95 | Total Steps:  1196 | Ep_Loss: 0.0000
Ep:  17 | Ep_r:  0.0 | Steps:  231 | Total Steps:  1428 | Ep_Loss: 0.0000
Ep:  18 | Ep_r:  0.0 | Steps:  58 | Total Steps:  1487 | Ep_Loss: 0.0000
Ep:  19 | Ep_r:  0.0 | Steps:  23 | Total Steps:  1511 | Ep_Loss: 0.0000
Ep:  20 | Ep_r:  0.0 | Steps:  223 | Total Steps:  1735 | Ep_Loss: 0.0000
Ep:  21 | Ep_r:  0.0 | Steps:  5 | Total Steps:  1741 | Ep_Loss: 0.0000
Ep:  22 | Ep_r:  0.0 | Steps:  5 | Total Steps:  1747 | Ep_Loss: 0.0000
Ep:  23 | Ep_r:  0.0 | Steps:  23 | Total Steps:  1771 | Ep_Loss: 0.0000
Ep:  24 | Ep_r:  0.0 | Steps:  94 | Total Steps:  1866 | Ep_Loss: 0.0000
Ep:  25 | Ep_r:  0.0 | Steps:  13 | Total Steps:  1880 | Ep_Loss: 0.0000
Ep:  26 | Ep_r:  0.0 | Steps:  41 | Total Steps:  1922 | Ep_Loss: 0.0000
Ep:  27 | Ep_r:  0.0 | Steps:  23 | Total Steps:  1946 | Ep_Loss: 0.0000
Ep:  28 | Ep_r:  0.0 | Steps:  62 | Total Steps:  2009 | Ep_Loss: 236.4358
Ep:  29 | Ep_r:  0.0 | Steps:  22 | Total Steps:  2032 | Ep_Loss: 139.5154
Ep:  30 | Ep_r:  0.0 | Steps:  22 | Total Steps:  2055 | Ep_Loss: 45.9514
Ep:  31 | Ep_r:  1.0 | Steps:  432 | Total Steps:  2488 | Ep_Loss: 225.9407
Ep:  32 | Ep_r:  0.0 | Steps:  23 | Total Steps:  2512 | Ep_Loss: 6.8575
Ep:  33 | Ep_r:  0.0 | Steps:  521 | Total Steps:  3034 | Ep_Loss: 126.8212
Ep:  34 | Ep_r:  0.0 | Steps:  98 | Total Steps:  3133 | Ep_Loss: 20.1080
Ep:  35 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3139 | Ep_Loss: 1.2960
Ep:  36 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3145 | Ep_Loss: 1.4697
Ep:  37 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3151 | Ep_Loss: 1.2802
Ep:  38 | Ep_r:  0.0 | Steps:  23 | Total Steps:  3175 | Ep_Loss: 4.7854
Ep:  39 | Ep_r:  0.0 | Steps:  23 | Total Steps:  3199 | Ep_Loss: 4.6794
Ep:  40 | Ep_r:  0.0 | Steps:  32 | Total Steps:  3232 | Ep_Loss: 6.2400
Ep:  41 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3238 | Ep_Loss: 1.0922
Ep:  42 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3244 | Ep_Loss: 1.1001
Ep:  43 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3250 | Ep_Loss: 1.1127
Ep:  44 | Ep_r:  0.0 | Steps:  24 | Total Steps:  3275 | Ep_Loss: 4.3833
Ep:  45 | Ep_r:  0.0 | Steps:  26 | Total Steps:  3302 | Ep_Loss: 5.0231
Ep:  46 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3308 | Ep_Loss: 1.2725
Ep:  47 | Ep_r:  0.0 | Steps:  23 | Total Steps:  3332 | Ep_Loss: 4.5894
Ep:  48 | Ep_r:  0.0 | Steps:  71 | Total Steps:  3404 | Ep_Loss: 12.6630
Ep:  49 | Ep_r:  0.0 | Steps:  23 | Total Steps:  3428 | Ep_Loss: 4.5478
Ep:  50 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3434 | Ep_Loss: 1.0656
Ep:  51 | Ep_r:  0.0 | Steps:  37 | Total Steps:  3472 | Ep_Loss: 7.3830
Ep:  52 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3478 | Ep_Loss: 1.0953
Ep:  53 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3484 | Ep_Loss: 0.9628
Ep:  54 | Ep_r:  0.0 | Steps:  25 | Total Steps:  3510 | Ep_Loss: 4.7859
Ep:  55 | Ep_r:  0.0 | Steps:  26 | Total Steps:  3537 | Ep_Loss: 6.1623
Ep:  56 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3543 | Ep_Loss: 1.0263
Ep:  57 | Ep_r:  0.0 | Steps:  28 | Total Steps:  3572 | Ep_Loss: 4.9355
Ep:  58 | Ep_r:  0.0 | Steps:  39 | Total Steps:  3612 | Ep_Loss: 6.5884
Ep:  59 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3618 | Ep_Loss: 0.8568
Ep:  60 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3624 | Ep_Loss: 0.9930
Ep:  61 | Ep_r:  0.0 | Steps:  28 | Total Steps:  3653 | Ep_Loss: 4.4472
Ep:  62 | Ep_r:  0.0 | Steps:  23 | Total Steps:  3677 | Ep_Loss: 3.7901
Ep:  63 | Ep_r:  0.0 | Steps:  81 | Total Steps:  3759 | Ep_Loss: 14.4396
Ep:  64 | Ep_r:  0.0 | Steps:  27 | Total Steps:  3787 | Ep_Loss: 4.4172
Ep:  65 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3793 | Ep_Loss: 0.8499
Ep:  66 | Ep_r:  0.0 | Steps:  28 | Total Steps:  3822 | Ep_Loss: 5.1713
Ep:  67 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3828 | Ep_Loss: 0.9701
Ep:  68 | Ep_r:  0.0 | Steps:  25 | Total Steps:  3854 | Ep_Loss: 3.9166
Ep:  69 | Ep_r:  0.0 | Steps:  32 | Total Steps:  3887 | Ep_Loss: 5.3384
Ep:  70 | Ep_r:  0.0 | Steps:  29 | Total Steps:  3917 | Ep_Loss: 4.8213
Ep:  71 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3923 | Ep_Loss: 1.0455
Ep:  72 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3946 | Ep_Loss: 3.9344
Ep:  73 | Ep_r:  0.0 | Steps:  65 | Total Steps:  4012 | Ep_Loss: 10.5660
Ep:  74 | Ep_r:  0.0 | Steps:  30 | Total Steps:  4043 | Ep_Loss: 4.3397
Ep:  75 | Ep_r:  0.0 | Steps:  88 | Total Steps:  4132 | Ep_Loss: 15.5935
Ep:  76 | Ep_r:  0.0 | Steps:  23 | Total Steps:  4156 | Ep_Loss: 3.4432
Ep:  77 | Ep_r:  0.0 | Steps:  65 | Total Steps:  4222 | Ep_Loss: 10.7040
Ep:  78 | Ep_r:  0.0 | Steps:  22 | Total Steps:  4245 | Ep_Loss: 3.3728
Ep:  79 | Ep_r:  0.0 | Steps:  23 | Total Steps:  4269 | Ep_Loss: 3.7183
Ep:  80 | Ep_r:  0.0 | Steps:  85 | Total Steps:  4355 | Ep_Loss: 14.2005
Ep:  81 | Ep_r:  0.0 | Steps:  39 | Total Steps:  4395 | Ep_Loss: 7.7100
Ep:  82 | Ep_r:  0.0 | Steps:  69 | Total Steps:  4465 | Ep_Loss: 11.5115
Ep:  83 | Ep_r:  0.0 | Steps:  23 | Total Steps:  4489 | Ep_Loss: 3.4566
Ep:  84 | Ep_r:  0.0 | Steps:  56 | Total Steps:  4546 | Ep_Loss: 8.2489
Ep:  85 | Ep_r:  0.0 | Steps:  68 | Total Steps:  4615 | Ep_Loss: 9.9753
Ep:  86 | Ep_r:  0.0 | Steps:  45 | Total Steps:  4661 | Ep_Loss: 6.6589
Ep:  87 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4667 | Ep_Loss: 0.8110
Ep:  88 | Ep_r:  0.0 | Steps:  22 | Total Steps:  4690 | Ep_Loss: 3.4211
Ep:  89 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4696 | Ep_Loss: 0.9296
Ep:  90 | Ep_r:  0.0 | Steps:  43 | Total Steps:  4740 | Ep_Loss: 6.3916
Ep:  91 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4746 | Ep_Loss: 0.9243
Ep:  92 | Ep_r:  0.0 | Steps:  28 | Total Steps:  4775 | Ep_Loss: 3.9810
Ep:  93 | Ep_r:  0.0 | Steps:  73 | Total Steps:  4849 | Ep_Loss: 10.9701
Ep:  94 | Ep_r:  0.0 | Steps:  22 | Total Steps:  4872 | Ep_Loss: 3.2256
