humanRL_gym_ple/dqn_ple.py:128: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(m.weight)
Collecting experience...
Ep:  0 | Ep_r:  1.0 | Steps:  25 | Total Steps:  26 | Ep_Loss: 0.0000
humanRL_gym_ple/dqn_ple.py:156: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  1 | Ep_r:  1.0 | Steps:  110 | Total Steps:  137 | Ep_Loss: 0.0000
Ep:  2 | Ep_r:  0.0 | Steps:  146 | Total Steps:  284 | Ep_Loss: 0.0000
Ep:  3 | Ep_r:  0.0 | Steps:  22 | Total Steps:  307 | Ep_Loss: 0.0000
Ep:  4 | Ep_r:  1.0 | Steps:  31 | Total Steps:  339 | Ep_Loss: 0.0000
Ep:  5 | Ep_r:  0.0 | Steps:  199 | Total Steps:  539 | Ep_Loss: 0.0000
Ep:  6 | Ep_r:  0.0 | Steps:  46 | Total Steps:  586 | Ep_Loss: 0.0000
Ep:  7 | Ep_r:  0.0 | Steps:  22 | Total Steps:  609 | Ep_Loss: 0.0000
Ep:  8 | Ep_r:  0.0 | Steps:  25 | Total Steps:  635 | Ep_Loss: 0.0000
Ep:  9 | Ep_r:  0.0 | Steps:  102 | Total Steps:  738 | Ep_Loss: 0.0000
Ep:  10 | Ep_r:  0.0 | Steps:  25 | Total Steps:  764 | Ep_Loss: 0.0000
Ep:  11 | Ep_r:  0.0 | Steps:  5 | Total Steps:  770 | Ep_Loss: 0.0000
Ep:  12 | Ep_r:  0.0 | Steps:  199 | Total Steps:  970 | Ep_Loss: 0.0000
Ep:  13 | Ep_r:  0.0 | Steps:  22 | Total Steps:  993 | Ep_Loss: 0.0000
Ep:  14 | Ep_r:  0.0 | Steps:  22 | Total Steps:  1016 | Ep_Loss: 0.0000
Ep:  15 | Ep_r:  0.0 | Steps:  199 | Total Steps:  1216 | Ep_Loss: 0.0000
Ep:  16 | Ep_r:  0.0 | Steps:  24 | Total Steps:  1241 | Ep_Loss: 0.0000
Ep:  17 | Ep_r:  0.0 | Steps:  5 | Total Steps:  1247 | Ep_Loss: 0.0000
Ep:  18 | Ep_r:  1.0 | Steps:  46 | Total Steps:  1294 | Ep_Loss: 0.0000
Ep:  19 | Ep_r:  0.0 | Steps:  44 | Total Steps:  1339 | Ep_Loss: 0.0000
Ep:  20 | Ep_r:  0.0 | Steps:  126 | Total Steps:  1466 | Ep_Loss: 0.0000
Ep:  21 | Ep_r:  0.0 | Steps:  99 | Total Steps:  1566 | Ep_Loss: 0.0000
Ep:  22 | Ep_r:  1.0 | Steps:  16 | Total Steps:  1583 | Ep_Loss: 0.0000
Ep:  23 | Ep_r:  0.0 | Steps:  25 | Total Steps:  1609 | Ep_Loss: 0.0000
Ep:  24 | Ep_r:  1.0 | Steps:  19 | Total Steps:  1629 | Ep_Loss: 0.0000
Ep:  25 | Ep_r:  0.0 | Steps:  22 | Total Steps:  1652 | Ep_Loss: 0.0000
Ep:  26 | Ep_r:  0.0 | Steps:  5 | Total Steps:  1658 | Ep_Loss: 0.0000
Ep:  27 | Ep_r:  0.0 | Steps:  22 | Total Steps:  1681 | Ep_Loss: 0.0000
Ep:  28 | Ep_r:  0.0 | Steps:  24 | Total Steps:  1706 | Ep_Loss: 0.0000
Ep:  29 | Ep_r:  0.0 | Steps:  23 | Total Steps:  1730 | Ep_Loss: 0.0000
Ep:  30 | Ep_r:  0.0 | Steps:  27 | Total Steps:  1758 | Ep_Loss: 0.0000
Ep:  31 | Ep_r:  0.0 | Steps:  23 | Total Steps:  1782 | Ep_Loss: 0.0000
Ep:  32 | Ep_r:  0.0 | Steps:  184 | Total Steps:  1967 | Ep_Loss: 0.0000
Ep:  33 | Ep_r:  0.0 | Steps:  25 | Total Steps:  1993 | Ep_Loss: 0.0000
Ep:  34 | Ep_r:  0.0 | Steps:  5 | Total Steps:  1999 | Ep_Loss: 0.0000
