humanRL_gym_ple/dqn_ple.py:128: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(m.weight)
Collecting experience...
humanRL_gym_ple/dqn_ple.py:156: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  0 | Ep_r:  0.0 | Steps:  199 | Total Steps:  200 | Ep_Loss: 0.0000
Ep:  1 | Ep_r:  0.0 | Steps:  5 | Total Steps:  206 | Ep_Loss: 0.0000
Ep:  2 | Ep_r:  0.0 | Steps:  43 | Total Steps:  250 | Ep_Loss: 0.0000
Ep:  3 | Ep_r:  0.0 | Steps:  5 | Total Steps:  256 | Ep_Loss: 0.0000
Ep:  4 | Ep_r:  0.0 | Steps:  88 | Total Steps:  345 | Ep_Loss: 0.0000
Ep:  5 | Ep_r:  1.0 | Steps:  89 | Total Steps:  435 | Ep_Loss: 0.0000
Ep:  6 | Ep_r:  0.0 | Steps:  30 | Total Steps:  466 | Ep_Loss: 0.0000
Ep:  7 | Ep_r:  0.0 | Steps:  199 | Total Steps:  666 | Ep_Loss: 0.0000
Ep:  8 | Ep_r:  0.0 | Steps:  45 | Total Steps:  712 | Ep_Loss: 0.0000
Ep:  9 | Ep_r:  0.0 | Steps:  22 | Total Steps:  735 | Ep_Loss: 0.0000
Ep:  10 | Ep_r:  0.0 | Steps:  199 | Total Steps:  935 | Ep_Loss: 0.0000
Ep:  11 | Ep_r:  1.0 | Steps:  83 | Total Steps:  1019 | Ep_Loss: 0.0000
Ep:  12 | Ep_r:  0.0 | Steps:  29 | Total Steps:  1049 | Ep_Loss: 0.0000
Ep:  13 | Ep_r:  0.0 | Steps:  142 | Total Steps:  1192 | Ep_Loss: 0.0000
Ep:  14 | Ep_r:  0.0 | Steps:  65 | Total Steps:  1258 | Ep_Loss: 0.0000
Ep:  15 | Ep_r:  0.0 | Steps:  199 | Total Steps:  1458 | Ep_Loss: 0.0000
Ep:  16 | Ep_r:  0.0 | Steps:  199 | Total Steps:  1658 | Ep_Loss: 0.0000
Ep:  17 | Ep_r:  0.0 | Steps:  22 | Total Steps:  1681 | Ep_Loss: 0.0000
Ep:  18 | Ep_r:  1.0 | Steps:  142 | Total Steps:  1824 | Ep_Loss: 0.0000
Ep:  19 | Ep_r:  1.0 | Steps:  140 | Total Steps:  1965 | Ep_Loss: 0.0000
Ep:  20 | Ep_r:  1.0 | Steps:  62 | Total Steps:  2028 | Ep_Loss: 9.4063
Ep:  21 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2034 | Ep_Loss: 2.1394
Ep:  22 | Ep_r:  0.0 | Steps:  25 | Total Steps:  2060 | Ep_Loss: 9.2896
Ep:  23 | Ep_r:  0.0 | Steps:  32 | Total Steps:  2093 | Ep_Loss: 10.9656
Ep:  24 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2099 | Ep_Loss: 1.9048
Ep:  25 | Ep_r:  0.0 | Steps:  30 | Total Steps:  2130 | Ep_Loss: 9.3204
Ep:  26 | Ep_r:  1.0 | Steps:  121 | Total Steps:  2252 | Ep_Loss: 26.8566
Ep:  27 | Ep_r:  0.0 | Steps:  38 | Total Steps:  2291 | Ep_Loss: 5.1237
Ep:  28 | Ep_r:  0.0 | Steps:  25 | Total Steps:  2317 | Ep_Loss: 2.9036
Ep:  29 | Ep_r:  0.0 | Steps:  28 | Total Steps:  2346 | Ep_Loss: 3.2876
Ep:  30 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2352 | Ep_Loss: 0.5922
Ep:  31 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2358 | Ep_Loss: 0.6024
Ep:  32 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2364 | Ep_Loss: 0.5393
Ep:  33 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2370 | Ep_Loss: 0.5354
Ep:  34 | Ep_r:  0.0 | Steps:  24 | Total Steps:  2395 | Ep_Loss: 2.2171
Ep:  35 | Ep_r:  0.0 | Steps:  22 | Total Steps:  2418 | Ep_Loss: 2.0706
Ep:  36 | Ep_r:  0.0 | Steps:  26 | Total Steps:  2445 | Ep_Loss: 2.4322
Ep:  37 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2451 | Ep_Loss: 0.3940
Ep:  38 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2457 | Ep_Loss: 0.4345
Ep:  39 | Ep_r:  0.0 | Steps:  22 | Total Steps:  2480 | Ep_Loss: 1.7625
Ep:  40 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2486 | Ep_Loss: 0.4821
Ep:  41 | Ep_r:  0.0 | Steps:  22 | Total Steps:  2509 | Ep_Loss: 1.7259
Ep:  42 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2515 | Ep_Loss: 0.4859
Ep:  43 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2521 | Ep_Loss: 0.3900
Ep:  44 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2527 | Ep_Loss: 0.4911
Ep:  45 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2533 | Ep_Loss: 0.4224
Ep:  46 | Ep_r:  0.0 | Steps:  30 | Total Steps:  2564 | Ep_Loss: 2.3575
Ep:  47 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2570 | Ep_Loss: 0.3637
Ep:  48 | Ep_r:  0.0 | Steps:  32 | Total Steps:  2603 | Ep_Loss: 2.2473
Ep:  49 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2609 | Ep_Loss: 0.3547
Ep:  50 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2615 | Ep_Loss: 0.4178
Ep:  51 | Ep_r:  0.0 | Steps:  22 | Total Steps:  2638 | Ep_Loss: 1.7003
Ep:  52 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2644 | Ep_Loss: 0.4180
Ep:  53 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2650 | Ep_Loss: 0.4403
Ep:  54 | Ep_r:  0.0 | Steps:  22 | Total Steps:  2673 | Ep_Loss: 1.6739
Ep:  55 | Ep_r:  0.0 | Steps:  44 | Total Steps:  2718 | Ep_Loss: 3.0369
Ep:  56 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2724 | Ep_Loss: 0.4647
Ep:  57 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2730 | Ep_Loss: 0.4583
Ep:  58 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2736 | Ep_Loss: 0.4285
Ep:  59 | Ep_r:  0.0 | Steps:  22 | Total Steps:  2759 | Ep_Loss: 1.5147
Ep:  60 | Ep_r:  0.0 | Steps:  40 | Total Steps:  2800 | Ep_Loss: 2.6568
Ep:  61 | Ep_r:  0.0 | Steps:  31 | Total Steps:  2832 | Ep_Loss: 1.9752
Ep:  62 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2838 | Ep_Loss: 0.3901
Ep:  63 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2844 | Ep_Loss: 0.3990
Ep:  64 | Ep_r:  0.0 | Steps:  36 | Total Steps:  2881 | Ep_Loss: 2.2812
Ep:  65 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2887 | Ep_Loss: 0.3448
Ep:  66 | Ep_r:  0.0 | Steps:  23 | Total Steps:  2911 | Ep_Loss: 1.3498
Ep:  67 | Ep_r:  0.0 | Steps:  19 | Total Steps:  2931 | Ep_Loss: 1.1516
Ep:  68 | Ep_r:  0.0 | Steps:  42 | Total Steps:  2974 | Ep_Loss: 2.5826
Ep:  69 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2980 | Ep_Loss: 0.3347
Ep:  70 | Ep_r:  0.0 | Steps:  96 | Total Steps:  3077 | Ep_Loss: 5.6402
Ep:  71 | Ep_r:  0.0 | Steps:  33 | Total Steps:  3111 | Ep_Loss: 1.9358
Ep:  72 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3117 | Ep_Loss: 0.3300
Ep:  73 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3123 | Ep_Loss: 0.3107
Ep:  74 | Ep_r:  0.0 | Steps:  23 | Total Steps:  3147 | Ep_Loss: 1.4235
Ep:  75 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3170 | Ep_Loss: 1.3466
Ep:  76 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3193 | Ep_Loss: 1.2879
Ep:  77 | Ep_r:  0.0 | Steps:  46 | Total Steps:  3240 | Ep_Loss: 2.6314
Ep:  78 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3246 | Ep_Loss: 0.3220
Ep:  79 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3269 | Ep_Loss: 1.2866
Ep:  80 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3275 | Ep_Loss: 0.2992
Ep:  81 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3281 | Ep_Loss: 0.3244
Ep:  82 | Ep_r:  0.0 | Steps:  34 | Total Steps:  3316 | Ep_Loss: 1.9023
Ep:  83 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3322 | Ep_Loss: 0.3230
Ep:  84 | Ep_r:  0.0 | Steps:  23 | Total Steps:  3346 | Ep_Loss: 1.2561
Ep:  85 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3369 | Ep_Loss: 1.2777
Ep:  86 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3375 | Ep_Loss: 0.3423
Ep:  87 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3398 | Ep_Loss: 1.2318
