humanRL_gym_ple/dqn_ple.py:131: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(m.weight)
Collecting experience...
humanRL_gym_ple/dqn_ple.py:159: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  0 | Ep_r:  0.0 | Steps:  199 | Total Steps:  200 | Ep_Loss: 0.0000
Ep:  1 | Ep_r:  0.0 | Steps:  11 | Total Steps:  212 | Ep_Loss: 0.0000
Ep:  2 | Ep_r:  0.0 | Steps:  24 | Total Steps:  237 | Ep_Loss: 0.0000
Ep:  3 | Ep_r:  0.0 | Steps:  131 | Total Steps:  369 | Ep_Loss: 0.0000
Ep:  4 | Ep_r:  1.0 | Steps:  61 | Total Steps:  431 | Ep_Loss: 0.0000
Ep:  5 | Ep_r:  0.0 | Steps:  157 | Total Steps:  589 | Ep_Loss: 0.0000
Ep:  6 | Ep_r:  0.0 | Steps:  103 | Total Steps:  693 | Ep_Loss: 0.0000
Ep:  7 | Ep_r:  0.0 | Steps:  57 | Total Steps:  751 | Ep_Loss: 0.0000
Ep:  8 | Ep_r:  1.0 | Steps:  18 | Total Steps:  770 | Ep_Loss: 0.0000
Ep:  9 | Ep_r:  1.0 | Steps:  114 | Total Steps:  885 | Ep_Loss: 0.0000
Ep:  10 | Ep_r:  0.0 | Steps:  5 | Total Steps:  891 | Ep_Loss: 0.0000
Ep:  11 | Ep_r:  0.0 | Steps:  23 | Total Steps:  915 | Ep_Loss: 0.0000
Ep:  12 | Ep_r:  0.0 | Steps:  157 | Total Steps:  1073 | Ep_Loss: 0.0000
Ep:  13 | Ep_r:  0.0 | Steps:  5 | Total Steps:  1079 | Ep_Loss: 0.0000
Ep:  14 | Ep_r:  1.0 | Steps:  77 | Total Steps:  1157 | Ep_Loss: 0.0000
Ep:  15 | Ep_r:  0.0 | Steps:  5 | Total Steps:  1163 | Ep_Loss: 0.0000
Ep:  16 | Ep_r:  0.0 | Steps:  40 | Total Steps:  1204 | Ep_Loss: 0.0000
Ep:  17 | Ep_r:  1.0 | Steps:  107 | Total Steps:  1312 | Ep_Loss: 0.0000
Ep:  18 | Ep_r:  0.0 | Steps:  84 | Total Steps:  1397 | Ep_Loss: 0.0000
Ep:  19 | Ep_r:  0.0 | Steps:  71 | Total Steps:  1469 | Ep_Loss: 0.0000
Ep:  20 | Ep_r:  0.0 | Steps:  31 | Total Steps:  1501 | Ep_Loss: 0.0000
