humanRL_gym_ple/dqn_ple.py:131: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(m.weight)
Collecting experience...
Ep:  0 | Ep_r:  0.0 | Steps:  28 | Total Steps:  29 | Ep_Loss: 0.0000
humanRL_gym_ple/dqn_ple.py:184: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  1 | Ep_r:  0.0 | Steps:  39 | Total Steps:  69 | Ep_Loss: 0.0000
Ep:  2 | Ep_r:  0.0 | Steps:  22 | Total Steps:  92 | Ep_Loss: 0.0000
Ep:  3 | Ep_r:  0.0 | Steps:  23 | Total Steps:  116 | Ep_Loss: 0.0000
Ep:  4 | Ep_r:  1.0 | Steps:  89 | Total Steps:  206 | Ep_Loss: 0.0000
Ep:  5 | Ep_r:  0.0 | Steps:  5 | Total Steps:  212 | Ep_Loss: 0.0000
Ep:  6 | Ep_r:  0.0 | Steps:  24 | Total Steps:  237 | Ep_Loss: 0.0000
Ep:  7 | Ep_r:  0.0 | Steps:  199 | Total Steps:  437 | Ep_Loss: 0.0000
Ep:  8 | Ep_r:  0.0 | Steps:  31 | Total Steps:  469 | Ep_Loss: 0.0000
Ep:  9 | Ep_r:  0.0 | Steps:  29 | Total Steps:  499 | Ep_Loss: 0.0000
Ep:  10 | Ep_r:  1.0 | Steps:  68 | Total Steps:  568 | Ep_Loss: 0.0000
Ep:  11 | Ep_r:  0.0 | Steps:  70 | Total Steps:  639 | Ep_Loss: 0.0000
Ep:  12 | Ep_r:  0.0 | Steps:  5 | Total Steps:  645 | Ep_Loss: 0.0000
Ep:  13 | Ep_r:  0.0 | Steps:  47 | Total Steps:  693 | Ep_Loss: 0.0000
Ep:  14 | Ep_r:  0.0 | Steps:  5 | Total Steps:  699 | Ep_Loss: 0.0000
Ep:  15 | Ep_r:  0.0 | Steps:  47 | Total Steps:  747 | Ep_Loss: 0.0000
Ep:  16 | Ep_r:  0.0 | Steps:  129 | Total Steps:  877 | Ep_Loss: 0.0000
Ep:  17 | Ep_r:  0.0 | Steps:  53 | Total Steps:  931 | Ep_Loss: 0.0000
Ep:  18 | Ep_r:  1.0 | Steps:  126 | Total Steps:  1058 | Ep_Loss: 0.0000
Ep:  19 | Ep_r:  0.0 | Steps:  90 | Total Steps:  1149 | Ep_Loss: 0.0000
Ep:  20 | Ep_r:  0.0 | Steps:  24 | Total Steps:  1174 | Ep_Loss: 0.0000
Ep:  21 | Ep_r:  0.0 | Steps:  24 | Total Steps:  1199 | Ep_Loss: 0.0000
Ep:  22 | Ep_r:  0.0 | Steps:  95 | Total Steps:  1295 | Ep_Loss: 0.0000
Ep:  23 | Ep_r:  0.0 | Steps:  76 | Total Steps:  1372 | Ep_Loss: 0.0000
Ep:  24 | Ep_r:  0.0 | Steps:  76 | Total Steps:  1449 | Ep_Loss: 0.0000
Ep:  25 | Ep_r:  0.0 | Steps:  5 | Total Steps:  1455 | Ep_Loss: 0.0000
Ep:  26 | Ep_r:  1.0 | Steps:  85 | Total Steps:  1541 | Ep_Loss: 0.0000
Ep:  27 | Ep_r:  0.0 | Steps:  122 | Total Steps:  1664 | Ep_Loss: 0.0000
Ep:  28 | Ep_r:  0.0 | Steps:  5 | Total Steps:  1670 | Ep_Loss: 0.0000
Ep:  29 | Ep_r:  0.0 | Steps:  27 | Total Steps:  1698 | Ep_Loss: 0.0000
Ep:  30 | Ep_r:  1.0 | Steps:  176 | Total Steps:  1875 | Ep_Loss: 0.0000
Ep:  31 | Ep_r:  0.0 | Steps:  144 | Total Steps:  2020 | Ep_Loss: 4.3523
Ep:  32 | Ep_r:  0.0 | Steps:  21 | Total Steps:  2042 | Ep_Loss: 3.1108
humanRL_gym_ple/dqn_ple.py:296: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  loss = torch.mean(torch.tensor(weights).to(device) * f.smooth_l1_loss(target.detach(), Q_s_a))  # this more effective loss
Ep:  33 | Ep_r:  0.0 | Steps:  199 | Total Steps:  2242 | Ep_Loss: 17.5840
Ep:  34 | Ep_r:  1.0 | Steps:  44 | Total Steps:  2287 | Ep_Loss: 2.7151
Ep:  35 | Ep_r:  1.0 | Steps:  22 | Total Steps:  2310 | Ep_Loss: 1.2220
Ep:  36 | Ep_r:  1.0 | Steps:  32 | Total Steps:  2343 | Ep_Loss: 1.7110
Ep:  37 | Ep_r:  1.0 | Steps:  88 | Total Steps:  2432 | Ep_Loss: 4.3378
Ep:  38 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2438 | Ep_Loss: 0.2244
Ep:  39 | Ep_r:  0.0 | Steps:  24 | Total Steps:  2463 | Ep_Loss: 1.0324
Ep:  40 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2469 | Ep_Loss: 0.2787
Ep:  41 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2475 | Ep_Loss: 0.1812
Ep:  42 | Ep_r:  0.0 | Steps:  66 | Total Steps:  2542 | Ep_Loss: 2.9097
Ep:  43 | Ep_r:  0.0 | Steps:  31 | Total Steps:  2574 | Ep_Loss: 2.0057
Ep:  44 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2580 | Ep_Loss: 0.4566
Ep:  45 | Ep_r:  0.0 | Steps:  48 | Total Steps:  2629 | Ep_Loss: 2.8245
Ep:  46 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2635 | Ep_Loss: 0.2474
Ep:  47 | Ep_r:  0.0 | Steps:  11 | Total Steps:  2647 | Ep_Loss: 0.6284
Ep:  48 | Ep_r:  0.0 | Steps:  49 | Total Steps:  2697 | Ep_Loss: 2.2094
Ep:  49 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2703 | Ep_Loss: 0.2643
Ep:  50 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2709 | Ep_Loss: 0.2151
Ep:  51 | Ep_r:  0.0 | Steps:  22 | Total Steps:  2732 | Ep_Loss: 0.9878
Ep:  52 | Ep_r:  0.0 | Steps:  31 | Total Steps:  2764 | Ep_Loss: 1.2670
Ep:  53 | Ep_r:  0.0 | Steps:  24 | Total Steps:  2789 | Ep_Loss: 1.1153
Ep:  54 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2795 | Ep_Loss: 0.2637
Ep:  55 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2801 | Ep_Loss: 0.2741
Ep:  56 | Ep_r:  0.0 | Steps:  45 | Total Steps:  2847 | Ep_Loss: 1.9451
Ep:  57 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2853 | Ep_Loss: 0.3021
Ep:  58 | Ep_r:  0.0 | Steps:  56 | Total Steps:  2910 | Ep_Loss: 2.6356
Ep:  59 | Ep_r:  0.0 | Steps:  5 | Total Steps:  2916 | Ep_Loss: 0.3346
Ep:  60 | Ep_r:  0.0 | Steps:  24 | Total Steps:  2941 | Ep_Loss: 1.1791
Ep:  61 | Ep_r:  1.0 | Steps:  18 | Total Steps:  2960 | Ep_Loss: 0.9575
Ep:  62 | Ep_r:  1.0 | Steps:  29 | Total Steps:  2990 | Ep_Loss: 1.4912
Ep:  63 | Ep_r:  1.0 | Steps:  29 | Total Steps:  3020 | Ep_Loss: 1.4451
Ep:  64 | Ep_r:  0.0 | Steps:  35 | Total Steps:  3056 | Ep_Loss: 1.5895
Ep:  65 | Ep_r:  0.0 | Steps:  26 | Total Steps:  3083 | Ep_Loss: 1.2253
Ep:  66 | Ep_r:  0.0 | Steps:  70 | Total Steps:  3154 | Ep_Loss: 3.2506
Ep:  67 | Ep_r:  1.0 | Steps:  89 | Total Steps:  3244 | Ep_Loss: 4.1307
Ep:  68 | Ep_r:  1.0 | Steps:  19 | Total Steps:  3264 | Ep_Loss: 0.8983
Ep:  69 | Ep_r:  0.0 | Steps:  24 | Total Steps:  3289 | Ep_Loss: 1.0607
Ep:  70 | Ep_r:  0.0 | Steps:  23 | Total Steps:  3313 | Ep_Loss: 0.9691
Ep:  71 | Ep_r:  1.0 | Steps:  30 | Total Steps:  3344 | Ep_Loss: 1.2675
Ep:  72 | Ep_r:  1.0 | Steps:  34 | Total Steps:  3379 | Ep_Loss: 1.3571
Ep:  73 | Ep_r:  1.0 | Steps:  30 | Total Steps:  3410 | Ep_Loss: 1.3464
Ep:  74 | Ep_r:  0.0 | Steps:  27 | Total Steps:  3438 | Ep_Loss: 1.1516
Ep:  75 | Ep_r:  0.0 | Steps:  22 | Total Steps:  3461 | Ep_Loss: 0.9403
Ep:  76 | Ep_r:  1.0 | Steps:  19 | Total Steps:  3481 | Ep_Loss: 0.6771
Ep:  77 | Ep_r:  1.0 | Steps:  22 | Total Steps:  3504 | Ep_Loss: 0.8791
Ep:  78 | Ep_r:  0.0 | Steps:  24 | Total Steps:  3529 | Ep_Loss: 0.9741
Ep:  79 | Ep_r:  1.0 | Steps:  22 | Total Steps:  3552 | Ep_Loss: 0.9681
Ep:  80 | Ep_r:  1.0 | Steps:  40 | Total Steps:  3593 | Ep_Loss: 1.5598
Ep:  81 | Ep_r:  1.0 | Steps:  44 | Total Steps:  3638 | Ep_Loss: 1.8557
Ep:  82 | Ep_r:  1.0 | Steps:  28 | Total Steps:  3667 | Ep_Loss: 1.0605
Ep:  83 | Ep_r:  0.0 | Steps:  23 | Total Steps:  3691 | Ep_Loss: 0.9602
Ep:  84 | Ep_r:  1.0 | Steps:  42 | Total Steps:  3734 | Ep_Loss: 1.5519
Ep:  85 | Ep_r:  1.0 | Steps:  43 | Total Steps:  3778 | Ep_Loss: 1.7834
Ep:  86 | Ep_r:  1.0 | Steps:  42 | Total Steps:  3821 | Ep_Loss: 1.6303
Ep:  87 | Ep_r:  1.0 | Steps:  44 | Total Steps:  3866 | Ep_Loss: 1.6322
Ep:  88 | Ep_r:  1.0 | Steps:  23 | Total Steps:  3890 | Ep_Loss: 0.8977
Ep:  89 | Ep_r:  1.0 | Steps:  26 | Total Steps:  3917 | Ep_Loss: 1.0951
Ep:  90 | Ep_r:  0.0 | Steps:  50 | Total Steps:  3968 | Ep_Loss: 1.8661
Ep:  91 | Ep_r:  1.0 | Steps:  21 | Total Steps:  3990 | Ep_Loss: 0.9036
Ep:  92 | Ep_r:  1.0 | Steps:  26 | Total Steps:  4017 | Ep_Loss: 1.1534
Ep:  93 | Ep_r:  1.0 | Steps:  26 | Total Steps:  4044 | Ep_Loss: 1.1284
Ep:  94 | Ep_r:  1.0 | Steps:  22 | Total Steps:  4067 | Ep_Loss: 0.9656
Ep:  95 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4073 | Ep_Loss: 0.2482
Ep:  96 | Ep_r:  1.0 | Steps:  25 | Total Steps:  4099 | Ep_Loss: 1.0655
Ep:  97 | Ep_r:  0.0 | Steps:  24 | Total Steps:  4124 | Ep_Loss: 1.0534
Ep:  98 | Ep_r:  1.0 | Steps:  22 | Total Steps:  4147 | Ep_Loss: 0.8980
Ep:  99 | Ep_r:  1.0 | Steps:  18 | Total Steps:  4166 | Ep_Loss: 0.7123
Ep:  100 | Ep_r:  1.0 | Steps:  14 | Total Steps:  4181 | Ep_Loss: 0.5877
Ep:  101 | Ep_r:  0.0 | Steps:  18 | Total Steps:  4200 | Ep_Loss: 0.8118
Ep:  102 | Ep_r:  1.0 | Steps:  23 | Total Steps:  4224 | Ep_Loss: 1.0064
Ep:  103 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4230 | Ep_Loss: 0.2442
Ep:  104 | Ep_r:  1.0 | Steps:  24 | Total Steps:  4255 | Ep_Loss: 1.0702
Ep:  105 | Ep_r:  1.0 | Steps:  41 | Total Steps:  4297 | Ep_Loss: 1.5704
Ep:  106 | Ep_r:  1.0 | Steps:  36 | Total Steps:  4334 | Ep_Loss: 1.5067
Ep:  107 | Ep_r:  0.0 | Steps:  24 | Total Steps:  4359 | Ep_Loss: 1.0270
Ep:  108 | Ep_r:  1.0 | Steps:  37 | Total Steps:  4397 | Ep_Loss: 1.6560
Ep:  109 | Ep_r:  1.0 | Steps:  36 | Total Steps:  4434 | Ep_Loss: 1.5392
Ep:  110 | Ep_r:  1.0 | Steps:  31 | Total Steps:  4466 | Ep_Loss: 1.2370
Ep:  111 | Ep_r:  1.0 | Steps:  22 | Total Steps:  4489 | Ep_Loss: 0.9589
Ep:  112 | Ep_r:  1.0 | Steps:  21 | Total Steps:  4511 | Ep_Loss: 0.7998
Ep:  113 | Ep_r:  0.0 | Steps:  25 | Total Steps:  4537 | Ep_Loss: 1.0828
Ep:  114 | Ep_r:  1.0 | Steps:  21 | Total Steps:  4559 | Ep_Loss: 0.9343
Ep:  115 | Ep_r:  1.0 | Steps:  23 | Total Steps:  4583 | Ep_Loss: 0.9204
Ep:  116 | Ep_r:  1.0 | Steps:  33 | Total Steps:  4617 | Ep_Loss: 1.3970
Ep:  117 | Ep_r:  1.0 | Steps:  23 | Total Steps:  4641 | Ep_Loss: 0.9452
Ep:  118 | Ep_r:  1.0 | Steps:  45 | Total Steps:  4687 | Ep_Loss: 2.1448
Ep:  119 | Ep_r:  1.0 | Steps:  40 | Total Steps:  4728 | Ep_Loss: 1.7540
Ep:  120 | Ep_r:  1.0 | Steps:  37 | Total Steps:  4766 | Ep_Loss: 1.6286
Ep:  121 | Ep_r:  1.0 | Steps:  19 | Total Steps:  4786 | Ep_Loss: 0.9716
Ep:  122 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4792 | Ep_Loss: 0.2589
Ep:  123 | Ep_r:  1.0 | Steps:  89 | Total Steps:  4882 | Ep_Loss: 3.9817
Ep:  124 | Ep_r:  1.0 | Steps:  36 | Total Steps:  4919 | Ep_Loss: 1.5200
Ep:  125 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4925 | Ep_Loss: 0.2527
Ep:  126 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4931 | Ep_Loss: 0.2233
