humanRL_gym_ple/dqn_ple.py:131: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(m.weight)
Collecting experience...
humanRL_gym_ple/dqn_ple.py:184: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  0 | Ep_r:  0.0 | Steps:  42 | Total Steps:  43 | Ep_Loss: 0.0000
Ep:  1 | Ep_r:  0.0 | Steps:  29 | Total Steps:  73 | Ep_Loss: 0.0000
Ep:  2 | Ep_r:  0.0 | Steps:  28 | Total Steps:  102 | Ep_Loss: 0.0000
Ep:  3 | Ep_r:  0.0 | Steps:  23 | Total Steps:  126 | Ep_Loss: 0.0000
Ep:  4 | Ep_r:  0.0 | Steps:  5 | Total Steps:  132 | Ep_Loss: 0.0000
Ep:  5 | Ep_r:  0.0 | Steps:  24 | Total Steps:  157 | Ep_Loss: 0.0000
Ep:  6 | Ep_r:  0.0 | Steps:  5 | Total Steps:  163 | Ep_Loss: 0.0000
Ep:  7 | Ep_r:  0.0 | Steps:  5 | Total Steps:  169 | Ep_Loss: 0.0000
Ep:  8 | Ep_r:  0.0 | Steps:  123 | Total Steps:  293 | Ep_Loss: 0.0000
Ep:  9 | Ep_r:  0.0 | Steps:  70 | Total Steps:  364 | Ep_Loss: 0.0000
Ep:  10 | Ep_r:  0.0 | Steps:  22 | Total Steps:  387 | Ep_Loss: 0.0000
Ep:  11 | Ep_r:  0.0 | Steps:  68 | Total Steps:  456 | Ep_Loss: 0.0000
Ep:  12 | Ep_r:  0.0 | Steps:  60 | Total Steps:  517 | Ep_Loss: 0.0000
Ep:  13 | Ep_r:  0.0 | Steps:  112 | Total Steps:  630 | Ep_Loss: 0.0000
Ep:  14 | Ep_r:  0.0 | Steps:  5 | Total Steps:  636 | Ep_Loss: 0.0000
Ep:  15 | Ep_r:  0.0 | Steps:  47 | Total Steps:  684 | Ep_Loss: 0.0000
Ep:  16 | Ep_r:  0.0 | Steps:  5 | Total Steps:  690 | Ep_Loss: 0.0000
Ep:  17 | Ep_r:  0.0 | Steps:  24 | Total Steps:  715 | Ep_Loss: 0.0000
Ep:  18 | Ep_r:  0.0 | Steps:  30 | Total Steps:  746 | Ep_Loss: 0.0000
Ep:  19 | Ep_r:  0.0 | Steps:  5 | Total Steps:  752 | Ep_Loss: 0.0000
Ep:  20 | Ep_r:  0.0 | Steps:  44 | Total Steps:  797 | Ep_Loss: 0.0000
Ep:  21 | Ep_r:  0.0 | Steps:  5 | Total Steps:  803 | Ep_Loss: 0.0000
Ep:  22 | Ep_r:  0.0 | Steps:  43 | Total Steps:  847 | Ep_Loss: 0.0000
Ep:  23 | Ep_r:  0.0 | Steps:  5 | Total Steps:  853 | Ep_Loss: 0.0000
Ep:  24 | Ep_r:  0.0 | Steps:  5 | Total Steps:  859 | Ep_Loss: 0.0000
Ep:  25 | Ep_r:  0.0 | Steps:  49 | Total Steps:  909 | Ep_Loss: 0.0000
Ep:  26 | Ep_r:  0.0 | Steps:  50 | Total Steps:  960 | Ep_Loss: 0.0000
